"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
16260,4,26181,631,4,8,21142,26181,521,14,3488937211,1507398110,true,53,92423451,"Uprise Champions Cup: Special"
10640,1,17031,543,12,8,14529,17087,457,19,3529546799,1509274933,true,53,92423451,"ESL One Hamburg 2017"
10074,11,19224,682,19,2,13262,23996,615,17,1976550135,1449147908,true,48,92423451,"StarLadder | i-League"
9662,14,21775,738,17,4,45500,42150,430,14,2076381332,1452711652,true,18,92423451,"StarLadder | i-League"
9638,6,9903,638,8,0,8925,12790,539,10,2270415898,1459699655,true,81,92423451,"EPICENTER: Moscow"
8338,17,17923,687,4,3,16531,26979,566,15,2294687324,1460653359,true,81,92423451,"The BTS Series"
8291,11,12298,661,5,2,8738,17441,530,6,2099714590,1453568737,true,6,92423451,"Dota Pit League Season Four"
8119,8,10146,657,36,3,10662,10995,546,13,1960991586,1448542803,true,48,92423451,"ASUS ROG DreamLeague Season 4"
7354,2,15354,442,7,4,12763,15354,432,11,3818333792,1522980006,true,45,92423451,"Dota 2 Asia Championships 2018"
7337,15,71503,562,24,4,41636,71503,531,11,3810667407,1522566554,true,58,92423451,"Dota 2 Asia Championships 2018"
7180,10,22647,531,9,4,13640,22647,547,12,3780349967,1521023675,true,45,92423451,"World Electronic Sports Games International"
7061,8,8166,589,21,3,13745,9346,524,5,2063916884,1452266232,true,77,92423451,"The Shanghai Major"
6761,6,11007,480,18,4,10951,11349,589,11,3549168535,1510089003,true,78,92423451,"DreamLeague season 8"
6559,9,12797,830,32,2,15089,17018,761,9,2113367447,1454083546,true,8,92423451,"WePlay League Season 3"
6365,5,23197,567,16,6,15768,23197,556,20,3485007131,1507234500,true,53,92423451,"DreamLeague season 7"
6267,0,15907,343,6,6,25314,16185,367,10,3540226851,1509723123,false,45,92423451,"AMD SAPPHIRE Dota PIT"
6136,16,33823,586,5,6,18562,33823,517,14,3249004797,1497459736,true,53,92423451,"The Summit 5"
5992,5,10449,449,10,2,8422,10449,451,10,3752505318,1519568982,true,49,92423451,"ESL One Katowice 2018 powered by Intel"
5859,7,16586,576,12,4,20195,26339,533,8,1832262143,1443628986,false,72,92423451,"Nanyang Championships"
