"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
7231,8,27102,922,1,6,19786,62912,548,17,2586117814,1471719286,true,89,101356886,"ProDotA Cup Series by Azubu.tv"
7179,3,63009,957,2,3,17869,63009,495,12,3082689492,1490684624,true,89,101356886,"Dota 2 Asia Championships 2017"
6676,11,25504,1002,3,5,31541,46728,756,21,2346553528,1462625511,true,73,101356886,"The Summit 5"
6361,4,34808,883,4,3,11944,34808,602,17,3084691162,1490776150,true,89,101356886,"Dota 2 Asia Championships 2017"
6272,13,25110,543,12,6,32674,40123,639,34,2588542991,1471797670,true,43,101356886,"WellPlay Invitational by VitalBet"
5744,1,9796,526,7,7,25362,17746,608,23,2500246729,1468357752,true,38,101356886,"WellPlay Invitational by VitalBet"
3374,6,41972,897,6,6,26707,41972,454,5,3091480186,1491055827,false,89,101356886,"Dota 2 Asia Championships 2017"
3182,3,14699,319,1,6,11898,14699,311,11,3909733428,1527094348,true,21,101356886,"ESL One Birmingham 2018 powered by Intel"
2818,5,14008,910,2,1,3231,21717,643,11,2576005562,1471361544,true,89,101356886,"ProDotA Cup Series by Azubu.tv"
2747,4,16315,513,13,14,31773,36187,568,19,2588356135,1471792428,true,11,101356886,"WellPlay Invitational by VitalBet"
2577,8,19110,368,3,6,33165,19110,455,16,3855322538,1524938786,true,60,101356886,"EPICENTER XL"
2542,10,31769,822,3,8,33038,74634,540,10,2593125830,1471961610,false,89,101356886,"WellPlay Invitational by VitalBet"
2490,5,19612,542,5,4,21071,19612,632,19,2751755320,1478103083,true,97,101356886,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
2263,5,17577,469,5,6,19484,17577,521,4,2752002464,1478111403,false,43,101356886,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
2093,1,12049,299,2,2,7012,12049,252,9,3928278244,1527924494,true,21,101356886,"CHINA DOTA2 SUPER MAJOR"
2006,4,9771,398,3,4,7263,9771,313,10,2853451399,1481991525,true,92,101356886,"WellPlay Invitational by VitalBet"
1847,0,3154,281,4,1,1742,3154,232,9,3330224716,1500761816,true,92,101356886,"DreamLeague season 7"
1705,7,9168,340,1,6,12946,9168,384,11,2756536301,1478295302,true,91,101356886,"ASUS ROG DreamLeague Season 6"
1582,4,14027,335,0,1,6689,14027,475,19,2940560214,1485453907,true,7,101356886,"SL i-League StarSeries S3"
1568,17,22480,551,5,6,28448,37505,597,29,2575833596,1471357218,true,28,101356886,"ProDotA Cup Series by Azubu.tv"
1558,5,23049,306,2,14,29372,23049,453,19,3327855394,1500669498,true,7,101356886,"DreamLeague season 7"
1512,3,14514,370,1,13,31827,14514,349,24,3016869728,1487902504,false,28,101356886,"SL i-League StarSeries S3"
1287,7,17553,337,3,10,21102,17553,408,15,3228786798,1496757490,true,14,101356886,"EPICENTER: Moscow Season 2"
1283,10,15296,463,0,9,27766,30857,415,21,2488762719,1467917756,true,90,101356886,"WellPlay Invitational by VitalBet"
1246,4,14641,298,1,4,9730,14641,444,13,3942119450,1528549573,true,21,101356886,"CHINA DOTA2 SUPER MAJOR"
1233,1,13330,345,3,9,16018,13330,336,13,2974171489,1486220740,false,86,101356886,"Dota 2 Asia Championships 2017"
1228,2,18489,343,4,6,25747,18489,521,29,3716503818,1517734155,true,60,101356886,"SL i-League Invitational Season 4"
1228,1,7350,464,2,4,10399,9544,614,20,2039724868,1451422579,true,97,101356886,"Uprise Champions Cup: Special"
1195,3,15292,278,0,10,23199,15292,316,12,2756407670,1478289661,false,7,101356886,"ASUS ROG DreamLeague Season 6"
