"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
11862,9,15571,678,8,3,22351,15571,536,7,3793135633,1521656481,true,81,82262664,"Corsair DreamLeague season 9"
9150,8,17388,824,10,1,5537,17388,676,8,2739526620,1477647401,true,48,82262664,"The Boston Major 2016"
8571,5,40875,634,12,6,35226,40875,476,9,2738365296,1477588205,true,6,82262664,"The Boston Major 2016"
8519,6,13064,650,12,2,6624,13064,509,7,2741787963,1477731828,true,48,82262664,"The Boston Major 2016"
8419,11,19070,534,20,8,24487,19070,618,12,3794599724,1521737996,true,92,82262664,"Corsair DreamLeague season 9"
6435,4,10306,551,8,2,10612,10306,564,13,2739822782,1477656973,true,6,82262664,"The Boston Major 2016"
6073,10,18304,394,0,19,39705,18304,435,17,2758687202,1478366440,true,64,82262664,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
5226,1,14202,403,21,9,21755,14202,338,5,3798272648,1521915609,false,45,82262664,"Corsair DreamLeague season 9"
4445,4,12938,411,4,9,17736,12938,416,15,3865875641,1525442301,true,53,82262664,"EPICENTER XL"
4062,1,14536,347,3,7,15616,14536,408,7,3358011344,1501956939,true,27,82262664,"The International 2017"
3905,1,7241,316,3,8,10981,7241,269,11,3356308437,1501897986,true,27,82262664,"The International 2017"
3708,4,11619,280,1,14,16661,11619,412,16,3328081715,1500684592,true,27,82262664,"DreamLeague season 7"
3370,1,6943,331,1,3,3316,6943,260,10,3808894481,1522487318,true,53,82262664,"Dota 2 Asia Championships 2018"
3356,1,5053,341,1,5,8519,6615,276,8,2061254166,1452173266,true,27,82262664,"The Shanghai Major"
3074,6,15785,459,0,5,18504,15785,657,23,3855211981,1524934545,true,64,82262664,"EPICENTER XL"
2931,11,25808,529,6,5,14300,25808,732,17,4062010988,1534373794,true,56,82262664,"The International 2018"
2863,6,8617,674,3,2,4323,8617,737,21,3021563452,1488078947,true,33,82262664,"SL i-League StarSeries S3"
2853,7,6543,297,5,3,9613,6543,387,17,3942119450,1528549573,true,66,82262664,"CHINA DOTA2 SUPER MAJOR"
2811,4,14116,351,0,7,12627,14116,528,15,3862104329,1525258525,true,64,82262664,"EPICENTER XL"
2667,4,12622,955,3,3,17642,22017,724,18,2442113000,1466156304,true,73,82262664,"ESL One Frankfurt 2016"
2610,4,3182,339,0,2,3562,3182,268,9,2802303938,1480085104,true,66,82262664,"ASUS ROG DreamLeague Season 6"
2541,5,5948,406,2,4,11874,5948,381,17,3174044578,1494610928,true,58,82262664,"DreamLeague season 7"
2505,1,11901,276,0,16,29634,11901,308,8,2721319658,1476906297,false,27,82262664,"ASUS ROG DreamLeague Season 6"
2491,3,3722,405,0,2,3524,3659,334,6,2015617679,1450582689,true,27,82262664,"World Cyber Arena 2015 GRAND FINAL"
2486,6,5040,422,0,2,6649,4662,337,5,2076170796,1452704297,true,66,82262664,"StarLadder | i-League"
2379,5,23569,553,11,4,24141,23569,617,7,3798116566,1521910206,false,76,82262664,"Corsair DreamLeague season 9"
2287,6,24291,938,2,4,24533,24291,649,23,3793030149,1521651597,true,73,82262664,"Corsair DreamLeague season 9"
2196,5,6483,416,1,4,5864,6647,381,13,2008880159,1450356051,true,27,82262664,"World Cyber Arena 2015 GRAND FINAL"
2062,6,6546,301,1,6,13243,9478,308,7,2191144529,1456894009,false,27,82262664,"The Shanghai Major"
2000,5,8057,365,0,12,26459,17034,378,10,2418415538,1465272933,false,38,82262664,"The Manila Major 2016"
1996,4,8029,336,1,4,8961,9947,393,16,2445668674,1466270622,true,58,82262664,"ESL One Frankfurt 2016"
1975,8,10622,464,1,8,13044,16597,465,16,2279118206,1460052325,true,33,82262664,"The BTS Series"
1898,0,2746,184,1,6,13433,2746,214,4,3330147109,1500757431,false,27,82262664,"DreamLeague season 7"
1850,2,9876,296,0,4,9917,9876,303,13,3592392708,1512122984,true,79,82262664,"DreamLeague season 8"
1850,2,8404,352,2,4,9718,8404,588,16,3856657225,1525006326,true,64,82262664,"EPICENTER XL"
1825,3,6904,364,0,2,12264,6904,448,14,3745760706,1519232169,true,64,82262664,"ESL One Katowice 2018 powered by Intel"
1817,3,6828,289,2,3,10447,6828,503,14,3860626926,1525182047,true,64,82262664,"EPICENTER XL"
1805,4,10596,291,1,6,17579,10596,587,19,3943547236,1528611743,true,64,82262664,"CHINA DOTA2 SUPER MAJOR"
1773,4,6766,304,1,7,11188,6766,348,7,3503821664,1508079022,true,45,82262664,"SL i-League Invitational Season 3"
1741,1,3903,389,2,3,7080,4789,414,8,2008391627,1450342114,true,50,82262664,"World Cyber Arena 2015 GRAND FINAL"
1736,8,14660,509,12,2,5716,22598,584,15,2092744852,1453316748,true,54,82262664,"WePlay League Season 3"
1735,1,3230,376,1,2,3275,3980,266,7,2149952289,1455390976,true,86,82262664,"WePlay League Season 3"
1714,5,11198,387,2,5,8123,11198,638,12,3870156798,1525608964,true,64,82262664,"EPICENTER XL"
1696,3,9320,346,0,2,6082,9320,378,35,2721119493,1476897987,true,66,82262664,"Dota Pit League Season Five"
1676,3,3532,319,1,2,4760,3532,281,11,3497644587,1507818066,true,66,82262664,"SL i-League Invitational Season 3"
1668,3,3317,281,1,3,5710,3360,286,15,3704183534,1517134800,true,66,82262664,"ESL One Genting 2018"
1632,3,2903,371,1,3,6583,2903,360,15,3808730315,1522480282,true,66,82262664,"Dota 2 Asia Championships 2018"
1626,4,5886,428,0,4,6296,8141,432,9,2425267177,1465528883,true,38,82262664,"The Manila Major 2016"
1626,4,5005,545,5,0,292,6209,644,5,2092844919,1453320796,true,54,82262664,"WePlay League Season 3"
1623,7,5580,381,0,9,19002,6189,325,14,2064017925,1452268632,true,66,82262664,"The Shanghai Major"
1595,3,6942,445,4,2,3765,10955,442,13,2294570987,1460649599,true,33,82262664,"The BTS Series"
1540,2,4710,277,2,4,4332,4710,327,15,3497871676,1507826158,true,66,82262664,"SL i-League Invitational Season 3"
1539,2,4351,311,0,3,8982,5186,307,12,2430186583,1465701423,true,58,82262664,"The Manila Major 2016"
1523,2,3768,321,0,4,5777,3556,335,13,1859099828,1444558005,true,50,82262664,"The Frankfurt Major 2015"
1519,6,10499,339,0,9,13828,10499,332,11,2756536301,1478295302,true,64,82262664,"ASUS ROG DreamLeague Season 6"
1506,4,12328,298,0,15,22797,12328,318,13,3352061045,1501694328,true,27,82262664,"The International 2017"
1478,8,5653,413,2,0,4703,4805,407,6,1976726768,1449152356,true,50,82262664,"StarLadder | i-League"
1456,1,6198,174,1,10,11313,6439,196,0,4061742840,1534354028,false,27,82262664,"The International 2018"
1412,4,6482,266,0,5,7641,6482,302,9,3928032584,1527908700,true,64,82262664,"CHINA DOTA2 SUPER MAJOR"
1391,4,12416,285,2,12,21893,12416,408,21,3865715133,1525437600,true,30,82262664,"EPICENTER XL"
1358,4,4702,373,2,3,6176,4702,497,16,3763492629,1520150508,true,66,82262664,"PGL BUCHAREST MAJOR 2018"
1347,5,7444,265,3,8,14292,11243,315,18,1856525423,1444478402,true,75,82262664,"The Frankfurt Major 2015"
1345,3,6335,487,5,3,7420,8266,489,16,2292565163,1460562901,true,33,82262664,"The BTS Series"
1338,4,9164,329,1,4,12395,9867,394,16,1925851339,1447096183,true,71,82262664,"StarLadder | i-League"
1327,2,3499,331,2,1,4757,3172,324,12,1862121628,1444663960,true,50,82262664,"The Frankfurt Major 2015"
1325,4,5473,352,1,2,7265,5785,337,7,2076536729,1452718405,true,92,82262664,"StarLadder | i-League"
1303,2,2342,405,2,0,420,1934,339,5,2294891673,1460661376,true,66,82262664,"The BTS Series"
1281,6,19672,418,1,8,18076,19672,680,12,3868388262,1525540154,false,64,82262664,"EPICENTER XL"
1279,3,5070,345,1,6,7758,6002,303,10,2013128377,1450505822,true,27,82262664,"World Cyber Arena 2015 GRAND FINAL"
1277,4,4229,315,1,3,6412,4229,381,8,3524294817,1509037379,true,66,82262664,"ESL One Hamburg 2017"
1275,2,6662,388,3,5,10169,9487,385,18,2311553749,1461320966,true,33,82262664,"ESL One Manila 2016"
1269,2,2859,308,0,1,3134,2859,270,11,3497783131,1507822775,true,66,82262664,"SL i-League Invitational Season 3"
1251,3,8417,268,4,1,3411,8417,381,16,3696416896,1516778241,true,30,82262664,"ESL One Genting 2018"
1243,3,5144,284,1,3,7036,5144,333,9,4065042825,1534539598,true,66,82262664,"The International 2018"
1217,10,7726,400,2,4,6338,9569,374,4,1916681789,1446751347,true,25,82262664,"The Summit 4"
1191,5,5484,321,1,2,5803,5484,408,20,3702177241,1517051649,true,68,82262664,"ESL One Genting 2018"
1183,6,6481,357,1,4,9168,6481,342,15,3696501908,1516781925,true,68,82262664,"ESL One Genting 2018"
1144,0,13627,326,0,7,19459,13627,425,14,4063289036,1534443815,false,66,82262664,"The International 2018"
1132,2,6230,348,1,7,10739,6296,324,8,3352462460,1501721682,true,92,82262664,"The International 2017"
1128,10,11556,357,1,3,11614,13689,389,13,1894045596,1445869782,true,71,82262664,"Nanyang Championships"
1115,0,5754,241,2,5,9986,5754,177,7,3811024255,1522580824,false,53,82262664,"Dota 2 Asia Championships 2018"
1111,1,4133,478,4,0,1203,4133,488,7,3022421923,1488108433,true,33,82262664,"SL i-League StarSeries S3"
