"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
17417,11,30700,772,8,0,14862,30700,669,8,2985537145,1486575829,true,48,72312627,"Dota 2 Asia Championships 2017"
16505,6,46246,627,29,8,35607,46246,587,20,3194453869,1495338717,true,80,72312627,"SL i-League Invitational Season 2"
16336,10,32477,715,14,2,16583,32477,599,10,3710951598,1517477156,true,80,72312627,"SL i-League Invitational Season 4"
15682,4,14947,634,14,3,11450,14947,561,13,3542962816,1509820581,true,80,72312627,"AMD SAPPHIRE Dota PIT"
15607,9,19004,543,5,3,20271,19004,660,24,3942260942,1528553828,true,92,72312627,"CHINA DOTA2 SUPER MAJOR"
14209,6,30668,631,7,3,23293,30668,578,27,3327943594,1500674512,true,80,72312627,"DreamLeague season 7"
14181,12,32532,622,7,6,55743,47684,549,14,3194342552,1495333282,false,109,72312627,"SL i-League Invitational Season 2"
13870,3,22353,643,10,0,8601,22353,553,15,3238540842,1497100618,true,80,72312627,"EPICENTER: Moscow Season 2"
13649,4,12756,609,6,4,8813,12756,472,9,3017670954,1487936916,true,80,72312627,"SL i-League StarSeries S3"
13553,9,32446,665,3,3,14570,32446,654,14,2715277069,1476642337,true,10,72312627,"The Summit 5"
13231,9,16807,552,12,2,13876,16807,452,9,3354000170,1501788405,true,77,72312627,"The International 2017"
13147,11,21351,619,5,3,17102,21536,764,9,3503666230,1508074449,true,61,72312627,"SL i-League Invitational Season 3"
13090,10,10636,611,3,3,14984,10636,493,11,3352327788,1501710133,true,77,72312627,"The International 2017"
12863,3,27045,590,8,1,11212,27045,426,14,3810690114,1522567507,false,80,72312627,"Dota 2 Asia Championships 2018"
12549,5,11414,701,15,1,5438,11414,561,7,3550720735,1510165801,true,80,72312627,"DreamLeague season 8"
12483,3,18480,497,7,2,9923,18480,504,19,3710846471,1517472289,true,45,72312627,"SL i-League Invitational Season 4"
12471,4,9731,606,9,1,7606,9731,570,15,3808730315,1522480282,true,80,72312627,"Dota 2 Asia Championships 2018"
12423,15,24576,599,15,2,22438,24576,662,11,3942119450,1528549573,true,54,72312627,"CHINA DOTA2 SUPER MAJOR"
11934,6,18416,605,6,4,15393,18416,589,18,3353935410,1501785042,true,80,72312627,"The International 2017"
11932,10,21399,563,6,5,13159,21399,624,20,3870010503,1525604949,true,92,72312627,"EPICENTER XL"
11819,2,12641,720,15,1,5615,12641,565,14,3702177241,1517051649,true,80,72312627,"ESL One Genting 2018"
11767,19,26055,815,18,2,20710,38929,691,15,2064017925,1452268632,true,39,72312627,"The Shanghai Major"
11749,8,11186,572,0,2,18459,11186,533,22,3174044578,1494610928,true,77,72312627,"DreamLeague season 7"
11642,7,27659,744,16,3,31197,27659,590,3,3022528136,1488111651,true,10,72312627,"SL i-League StarSeries S3"
11500,11,21855,635,14,1,12294,21855,531,11,3195817999,1495379856,true,80,72312627,"SL i-League Invitational Season 2"
11233,16,24936,925,25,3,22937,43602,480,12,2061413869,1452177016,true,1,72312627,"The Shanghai Major"
11114,17,43314,657,18,2,19384,43314,721,18,3862104329,1525258525,true,12,72312627,"EPICENTER XL"
11110,6,8051,508,12,1,7556,8051,480,8,3937484599,1528340871,true,92,72312627,"CHINA DOTA2 SUPER MAJOR"
11027,3,10521,639,14,2,4118,10521,615,8,3545330410,1509909103,true,80,72312627,"AMD SAPPHIRE Dota PIT"
10926,4,29115,574,6,3,12571,29115,577,13,3226894905,1496673259,false,80,72312627,"EPICENTER: Moscow Season 2"
10817,4,17023,577,10,0,7955,17023,509,14,3702089496,1517048477,true,45,72312627,"ESL One Genting 2018"
10774,15,35959,593,0,2,23222,35959,674,18,3241825287,1497193111,true,99,72312627,"EPICENTER: Moscow Season 2"
10608,11,16734,669,5,0,9967,16734,658,8,2989528495,1486747439,true,63,72312627,"Dota 2 Asia Championships 2017"
10542,18,29782,656,11,2,25252,29782,737,19,3176294300,1494694510,true,41,72312627,"DreamLeague season 7"
10521,12,20179,713,9,4,21254,29647,705,12,2008190776,1450335004,true,19,72312627,"World Cyber Arena 2015 GRAND FINAL"
10453,14,21441,629,2,4,32127,21441,650,8,4061660411,1534348935,true,61,72312627,"The International 2018"
10379,18,20376,629,4,0,14068,20376,751,13,3552253587,1510243201,true,77,72312627,"DreamLeague season 8"
10353,7,11784,579,0,2,15192,12248,715,6,3524294817,1509037379,true,61,72312627,"ESL One Hamburg 2017"
10271,6,10877,700,7,1,9689,11982,548,10,3021494571,1488075526,true,109,72312627,"SL i-League StarSeries S3"
10250,6,14234,574,7,3,16829,14234,748,4,3352462460,1501721682,true,61,72312627,"The International 2017"
10224,11,12101,637,19,1,9238,13518,539,5,1899521370,1446099664,true,59,72312627,"Nanyang Championships"
10216,6,25187,507,7,3,10931,25187,481,16,4064786062,1534525204,true,45,72312627,"The International 2018"
10018,8,15086,599,12,0,10625,15086,613,8,3503821664,1508079022,true,54,72312627,"SL i-League Invitational Season 3"
10005,9,14326,734,11,0,5354,14326,794,8,2944989853,1485552599,true,80,72312627,"SL i-League StarSeries S3"
9857,1,10833,433,9,2,14418,10833,448,13,3364308762,1502233763,true,77,72312627,"The International 2017"
9715,14,36803,498,8,3,17790,36803,474,13,3328038592,1500680998,true,45,72312627,"DreamLeague season 7"
9633,8,14769,647,15,0,9694,14769,602,16,3862218492,1525262687,true,80,72312627,"EPICENTER XL"
9603,3,19904,565,13,8,23252,19904,447,7,3372269708,1502559236,false,80,72312627,"The International 2017"
9592,11,80530,606,6,12,36498,80530,596,30,3528329524,1509218513,true,40,72312627,"ESL One Hamburg 2017"
9589,9,10616,509,17,1,5791,10616,384,8,3932161077,1528081436,true,77,72312627,"CHINA DOTA2 SUPER MAJOR"
9506,8,16406,680,8,1,6730,16406,540,5,2936465377,1485278661,true,80,72312627,"SL i-League StarSeries S3"
9449,7,19507,711,9,2,10575,19507,693,8,3017538227,1487932559,true,80,72312627,"SL i-League StarSeries S3"
9430,6,14456,507,3,2,8142,14456,473,8,3928278244,1527924494,true,92,72312627,"CHINA DOTA2 SUPER MAJOR"
9424,11,10562,600,8,3,9215,10562,468,3,2754028951,1478205003,true,54,72312627,"ASUS ROG DreamLeague Season 6"
9411,3,5815,620,15,1,3168,5815,493,7,3808894481,1522487318,true,80,72312627,"Dota 2 Asia Championships 2018"
9381,10,28562,589,15,3,32295,28562,502,15,3855322538,1524938786,true,54,72312627,"EPICENTER XL"
9335,6,10404,699,14,0,5904,10404,749,11,3592497127,1512127242,true,80,72312627,"DreamLeague season 8"
9236,3,12814,636,8,3,9198,12814,487,7,3550508063,1510156802,true,80,72312627,"DreamLeague season 8"
9231,9,18149,594,10,1,11898,18149,549,17,3021563452,1488078947,true,63,72312627,"SL i-League StarSeries S3"
9165,15,18071,759,6,3,16324,23613,610,8,2013254571,1450509896,true,19,72312627,"World Cyber Arena 2015 GRAND FINAL"
9147,4,14127,565,18,5,14957,14127,409,12,3815378585,1522821451,true,80,72312627,"Dota 2 Asia Championships 2018"
9113,15,32775,499,8,8,21902,32775,534,15,3538465716,1509649478,true,47,72312627,"AMD SAPPHIRE Dota PIT"
8935,11,33692,686,6,1,8258,33692,650,10,3716818051,1517745441,true,72,72312627,"SL i-League Invitational Season 4"
8926,3,6911,645,7,1,9253,7099,552,7,1827709336,1443467989,true,80,72312627,"Nanyang Championships"
8885,7,8765,557,10,0,5873,8765,469,8,3330335155,1500769437,true,77,72312627,"DreamLeague season 7"
8868,4,8301,651,17,1,9925,12250,528,8,2547411769,1470270499,true,10,72312627,"The International 2016"
8849,5,10060,592,11,4,11923,10060,693,7,3528450522,1509224338,true,61,72312627,"ESL One Hamburg 2017"
8783,5,12039,703,13,1,11648,15354,721,17,2066337298,1452347645,true,80,72312627,"The Shanghai Major"
8781,6,17161,706,19,1,9383,17161,700,7,2802303938,1480085104,true,10,72312627,"ASUS ROG DreamLeague Season 6"
8780,17,61618,548,11,8,79501,61618,483,22,3368158118,1502404357,true,77,72312627,"The International 2017"
8760,14,19597,572,4,4,17046,23998,628,8,2445483404,1466265457,true,93,72312627,"ESL One Frankfurt 2016"
8734,13,20164,586,3,3,21974,35001,536,14,2066888438,1452360106,true,77,72312627,"The Shanghai Major"
8701,10,24815,632,19,1,18295,24815,644,16,3356251885,1501894353,true,12,72312627,"The International 2017"
8678,14,41780,556,18,5,26418,41780,615,21,3563837364,1510770599,true,20,72312627,"DreamLeague season 8"
8622,10,19897,502,29,3,22782,19897,529,10,3870720136,1525623599,false,54,72312627,"EPICENTER XL"
8617,7,10643,542,14,2,9007,10643,545,13,3856441285,1524998861,true,80,72312627,"EPICENTER XL"
8536,9,12789,468,12,3,8840,12789,476,12,3943981461,1528626064,true,92,72312627,"CHINA DOTA2 SUPER MAJOR"
8413,9,19419,699,15,2,29744,30146,699,13,2508519627,1468689318,true,10,72312627,"The Summit 5"
8356,9,21315,589,17,4,13636,21315,633,9,3504247873,1508094997,true,54,72312627,"SL i-League Invitational Season 3"
8350,12,16540,632,5,3,20834,24653,586,13,2425850818,1465549554,true,77,72312627,"The Manila Major 2016"
8335,6,26763,683,11,3,13870,26763,516,17,3081031452,1490609684,true,53,72312627,"Dota 2 Asia Championships 2017"
8321,11,23450,620,16,0,22335,23450,565,11,3595192440,1512231377,true,19,72312627,"DreamLeague season 8"
8247,9,18147,667,14,1,5287,18147,731,8,2938474954,1485368216,true,80,72312627,"SL i-League StarSeries S3"
8222,12,20022,667,22,2,11474,20022,681,6,2804920505,1480173319,true,10,72312627,"ASUS ROG DreamLeague Season 6"
8174,6,29055,637,10,2,25698,29055,655,7,3909733428,1527094348,true,12,72312627,"ESL One Birmingham 2018 powered by Intel"
8151,9,23433,640,3,2,26715,23433,836,4,3367820228,1502386069,true,61,72312627,"The International 2017"
8137,12,20054,485,8,5,16497,20054,527,15,3943547236,1528611743,true,92,72312627,"CHINA DOTA2 SUPER MAJOR"
8129,9,14232,823,13,3,20711,22120,720,4,2064195270,1452273124,true,1,72312627,"The Shanghai Major"
8121,12,15368,782,15,4,15703,23937,776,10,2504247299,1468522253,true,10,72312627,"The Summit 5"
8069,3,8439,597,19,1,10928,10026,446,6,2509022908,1468713344,true,59,72312627,"The Summit 5"
8017,4,9742,420,5,1,13636,9742,411,13,3241665434,1497189487,true,77,72312627,"EPICENTER: Moscow Season 2"
8011,4,13948,597,17,2,6635,13948,473,5,2978221218,1486314027,true,80,72312627,"Dota 2 Asia Championships 2017"
7951,15,18629,604,9,5,14742,26546,535,6,2421177492,1465379420,true,54,72312627,"The Manila Major 2016"
7854,6,11550,594,18,0,2355,11550,576,9,3190848836,1495198190,true,80,72312627,"SL i-League Invitational Season 2"
7848,5,8370,646,10,2,11150,10549,618,8,2066679779,1452355064,true,77,72312627,"The Shanghai Major"
7841,4,11760,531,3,2,26298,11760,554,13,2987642896,1486669284,true,77,72312627,"Dota 2 Asia Championships 2017"
7831,20,38689,631,8,3,25230,39364,680,17,3562232404,1510688701,true,19,72312627,"DreamLeague season 8"
7744,5,16979,597,9,2,10351,16979,529,8,3235896984,1497023737,true,80,72312627,"EPICENTER: Moscow Season 2"
7663,8,24493,576,16,5,28520,24493,580,8,3176700913,1494707402,false,10,72312627,"DreamLeague season 7"
7634,10,24510,582,21,5,22550,24510,560,20,3716503818,1517734155,true,15,72312627,"SL i-League Invitational Season 4"
7511,8,21694,534,12,4,13685,21694,498,19,3698556611,1516883596,true,20,72312627,"ESL One Genting 2018"
7504,8,25995,657,8,3,25074,25995,787,6,3358011344,1501956939,true,61,72312627,"The International 2017"
7431,5,11383,479,13,2,16435,11383,541,15,3593288991,1512153349,true,77,72312627,"DreamLeague season 8"
7427,9,22694,472,3,5,32740,22694,530,19,3747006714,1519305151,true,77,72312627,"ESL One Katowice 2018 powered by Intel"
7425,6,5779,660,19,1,5255,5779,514,8,3084344226,1490759428,true,95,72312627,"Dota 2 Asia Championships 2017"
7423,7,20320,468,7,6,24026,20320,557,13,3928080962,1527911537,true,43,72312627,"CHINA DOTA2 SUPER MAJOR"
7366,14,21589,661,6,9,50340,56533,508,7,2480045573,1467576592,true,109,72312627,"Global Grand Masters by Prodota.eu"
7359,8,12242,577,5,3,12227,12242,583,6,3543084625,1509825149,true,61,72312627,"AMD SAPPHIRE Dota PIT"
7321,11,17343,620,1,1,17867,17343,639,16,3139950764,1493147635,true,77,72312627,"Kiev Major"
7274,17,35280,612,16,2,34169,35280,618,7,3550606727,1510160702,true,54,72312627,"DreamLeague season 8"
7244,13,22083,621,29,2,17138,28914,639,3,1827577454,1443463346,true,44,72312627,"Nanyang Championships"
7175,7,22666,652,10,3,14815,22666,488,18,3743740299,1519124499,true,72,72312627,"ESL One Katowice 2018 powered by Intel"
7032,3,8174,653,3,0,5456,8174,765,2,3370363807,1502499648,true,61,72312627,"The International 2017"
6889,11,58011,781,16,7,37278,58011,579,8,3597031137,1512307524,false,80,72312627,"DreamLeague season 8"
6848,1,12267,366,1,1,3247,12267,328,13,2739526620,1477647401,true,79,72312627,"The Boston Major 2016"
6821,5,9156,703,18,2,7876,15233,653,8,2425188750,1465524906,true,80,72312627,"The Manila Major 2016"
6809,12,19090,762,3,1,12560,24812,743,10,2549644214,1470371788,true,10,72312627,"The International 2016"
6733,5,10236,522,9,1,4711,10236,421,9,3813829086,1522728902,true,80,72312627,"Dota 2 Asia Championships 2018"
6730,5,5356,541,6,0,5753,5356,397,4,3330224716,1500761816,true,77,72312627,"DreamLeague season 7"
6719,9,12690,639,15,0,3585,12690,540,7,3545411013,1509912601,true,54,72312627,"AMD SAPPHIRE Dota PIT"
6685,10,13510,636,5,5,11220,19043,629,11,2185060254,1456660719,true,53,72312627,"The Shanghai Major"
6672,8,17156,518,6,1,12733,17156,490,9,3084691162,1490776150,true,54,72312627,"Dota 2 Asia Championships 2017"
6664,8,33727,569,21,7,27655,33727,537,18,3716269301,1517725180,true,15,72312627,"SL i-League Invitational Season 4"
6584,9,16505,588,7,2,21347,16505,636,10,3142994571,1493302362,true,77,72312627,"Kiev Major"
6575,14,19526,817,7,2,7895,30813,728,2,2063371941,1452253611,true,72,72312627,"The Shanghai Major"
6558,7,13961,602,15,1,7930,13961,570,5,3190241106,1495176306,true,80,72312627,"SL i-League Invitational Season 2"
6524,8,18405,612,7,3,18081,21739,565,5,1893865435,1445865365,true,12,72312627,"Nanyang Championships"
6502,10,20207,633,3,1,9934,20207,628,6,3173910801,1494606678,true,99,72312627,"DreamLeague season 7"
6466,9,13240,566,9,1,13179,17698,494,9,2549289998,1470347407,true,54,72312627,"The International 2016"
6375,11,25775,622,15,4,24661,25775,657,13,3176445805,1494698988,true,95,72312627,"DreamLeague season 7"
6347,9,25381,588,8,4,18635,25381,459,17,2727672233,1477153004,true,48,72312627,"Dota Pit League Season Five"
6300,10,13375,642,9,1,10117,13375,600,6,3749130082,1519408987,true,61,72312627,"ESL One Katowice 2018 powered by Intel"
6244,4,7962,588,16,1,2375,8821,467,8,2508984462,1468710491,true,6,72312627,"The Summit 5"
6238,15,21970,549,9,4,11409,21970,580,16,3932111656,1528077679,true,92,72312627,"CHINA DOTA2 SUPER MAJOR"
6204,5,8621,553,13,3,13415,15022,535,13,2430271395,1465705508,true,6,72312627,"The Manila Major 2016"
6191,9,21265,597,12,4,26124,21265,628,24,2805241804,1480181442,true,42,72312627,"ASUS ROG DreamLeague Season 6"
6177,10,13223,675,7,1,9846,13223,736,4,4062151757,1534388334,true,61,72312627,"The International 2018"
6138,5,10813,475,16,8,13977,10813,470,18,3870602242,1525619948,true,6,72312627,"EPICENTER XL"
6133,8,26785,461,9,2,17706,26785,489,13,3716172156,1517720867,true,45,72312627,"SL i-League Invitational Season 4"
6113,15,16298,705,12,4,12278,18097,669,10,1918887285,1446839541,true,8,72312627,"D2CL Season 6"
6084,15,44880,671,8,1,15285,44880,649,13,3146197371,1493453354,true,67,72312627,"Kiev Major"
6076,20,29978,693,10,7,49100,67787,478,3,2551542809,1470443790,false,10,72312627,"The International 2016"
6061,11,31774,569,7,6,19321,31774,528,19,3813872197,1522732135,true,35,72312627,"Dota 2 Asia Championships 2018"
6053,8,13651,655,13,0,3738,13651,574,7,3230524940,1496837836,true,80,72312627,"EPICENTER: Moscow Season 2"
6040,15,20502,724,22,2,15388,24957,766,7,2061254166,1452173266,true,77,72312627,"The Shanghai Major"
6016,6,7918,767,8,0,2885,8648,778,7,2310970892,1461297464,true,80,72312627,"ESL One Manila 2016"
6001,11,23241,500,16,3,18628,23241,585,8,3550781676,1510168802,true,54,72312627,"DreamLeague season 8"
5980,13,14579,693,17,1,7563,16866,684,3,1857460079,1444499362,true,77,72312627,"The Frankfurt Major 2015"
5958,10,15358,637,9,0,4734,15358,665,9,2708121940,1476390632,true,10,72312627,"ASUS ROG DreamLeague Season 6"
5899,8,14005,522,2,1,8552,14005,509,6,3545253155,1509905999,true,77,72312627,"AMD SAPPHIRE Dota PIT"
5867,2,5703,605,3,3,11548,10328,598,12,2104919918,1453751290,true,80,72312627,"Dota Pit League Season Four"
5810,2,7978,468,2,5,12586,7978,387,14,2974403760,1486225217,true,8,72312627,"Dota 2 Asia Championships 2017"
5809,4,11782,522,17,2,10780,11782,490,8,3937435514,1528336909,true,43,72312627,"CHINA DOTA2 SUPER MAJOR"
5756,5,7402,576,16,2,13556,11098,554,12,2479959008,1467572714,true,6,72312627,"Global Grand Masters by Prodota.eu"
5745,6,9761,726,5,3,16298,18688,748,6,1812665131,1442952164,true,1,72312627,"D2CL Season 6"
5722,7,10382,876,16,2,9332,17290,807,6,2184118645,1456636113,true,1,72312627,"The Shanghai Major"
5721,9,13811,701,23,0,6319,13811,627,4,2853597033,1481995103,true,10,72312627,"WellPlay Invitational by VitalBet"
5686,13,19887,679,13,4,10831,29173,652,8,1981733381,1449331633,true,72,72312627,"The Defense Season 5"
5608,10,21669,526,2,10,16186,21669,513,23,4062010988,1534373794,true,53,72312627,"The International 2018"
5600,5,17688,453,23,6,19313,17688,427,13,3745831943,1519235445,true,47,72312627,"ESL One Katowice 2018 powered by Intel"
5596,14,20217,596,6,1,15558,29881,555,8,2201624014,1457251546,true,77,72312627,"The Shanghai Major"
5590,8,24420,581,11,6,16398,24420,589,17,3710771742,1517468635,true,72,72312627,"SL i-League Invitational Season 4"
5579,8,15235,532,13,4,11743,15235,486,10,3793135633,1521656481,true,47,72312627,"Corsair DreamLeague season 9"
5569,7,11436,647,9,1,5273,12121,486,9,2508641831,1468693593,true,6,72312627,"The Summit 5"
5549,10,13125,709,3,0,9091,13125,760,8,4064993264,1534536505,true,61,72312627,"The International 2018"
5521,14,15610,602,4,0,8060,15610,507,6,3768183941,1520409809,true,72,72312627,"PGL BUCHAREST MAJOR 2018"
5501,11,17472,551,21,5,55773,30400,495,24,2428563481,1465644257,true,93,72312627,"The Manila Major 2016"
5454,6,9684,492,16,3,7436,9684,525,16,3943790375,1528619812,true,6,72312627,"CHINA DOTA2 SUPER MAJOR"
5450,10,8759,616,4,3,13848,13376,622,11,2353290933,1462879894,true,77,72312627,"EPICENTER: Moscow"
5436,9,35341,565,27,5,17704,35341,586,16,3538073823,1509636296,true,47,72312627,"AMD SAPPHIRE Dota PIT"
5340,12,16116,588,13,1,12684,17067,565,11,1984698282,1449426633,true,19,72312627,"The Defense Season 5"
5330,7,11308,649,11,2,5120,10966,591,7,2092844919,1453320796,true,72,72312627,"WePlay League Season 3"
5324,4,11065,612,6,1,6189,14520,587,17,2353764925,1462892595,true,80,72312627,"EPICENTER: Moscow"
5308,10,16449,596,10,5,14970,16449,517,18,3139858272,1493143062,true,20,72312627,"Kiev Major"
5284,3,19804,398,7,4,12317,19804,484,7,3818397105,1522984888,false,92,72312627,"Dota 2 Asia Championships 2018"
5271,4,20787,507,8,1,7678,20787,540,10,3816848333,1522903121,true,47,72312627,"Dota 2 Asia Championships 2018"
5268,16,34145,586,10,4,36944,34145,653,19,3356044327,1501879777,true,36,72312627,"The International 2017"
5231,11,11729,584,0,1,8882,15300,539,9,2411460113,1465027937,true,77,72312627,"The Manila Major 2016"
5179,5,7843,650,12,1,4763,9196,590,7,2095187327,1453414136,true,80,72312627,"Dota Pit League Season Four"
5172,7,10534,765,5,0,8501,14333,799,6,2562425844,1470867900,true,1,72312627,"The International 2016"
5168,8,10419,530,12,0,9714,12178,416,11,2549584654,1470368306,true,6,72312627,"The International 2016"
5166,9,23354,548,10,2,18079,23354,633,28,2721119493,1476897987,true,41,72312627,"Dota Pit League Season Five"
5159,9,18412,597,27,3,12258,18412,595,6,2723306714,1476990001,true,54,72312627,"ASUS ROG DreamLeague Season 6"
5159,4,11651,676,10,2,17033,18278,683,18,2008514673,1450346135,true,42,72312627,"World Cyber Arena 2015 GRAND FINAL"
5122,18,40932,561,8,11,33977,40932,455,14,2758687202,1478366440,true,72,72312627,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
5096,8,19356,626,9,2,20190,25870,615,11,2444509429,1466240096,true,44,72312627,"ESL One Frankfurt 2016"
5076,17,19749,597,7,1,7136,26135,605,11,2444663195,1466244530,true,54,72312627,"ESL One Frankfurt 2016"
