"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
11383,8,31111,688,21,4,16663,31111,549,10,4063289036,1534443815,false,53,34505203,"The International 2018"
10968,9,61507,471,15,6,24752,61507,536,10,3750946886,1519494562,false,45,34505203,"ESL One Katowice 2018 powered by Intel"
10471,6,24110,580,1,5,10896,24199,495,11,3368300783,1502415870,true,53,34505203,"The International 2017"
10458,12,33660,556,4,3,12863,33660,665,16,3554583049,1510350300,true,45,34505203,"DreamLeague season 8"
10105,12,44610,764,13,5,13636,44610,689,9,3752273869,1519561049,true,53,34505203,"ESL One Katowice 2018 powered by Intel"
10083,4,12981,515,10,1,7465,12981,380,9,3747126700,1519309581,true,53,34505203,"ESL One Katowice 2018 powered by Intel"
9873,16,38474,479,10,6,12245,38474,536,20,3793030149,1521651597,true,45,34505203,"Corsair DreamLeague season 9"
8827,2,6618,501,1,1,8982,6618,411,5,3190155899,1495172483,true,99,34505203,"SL i-League Invitational Season 2"
8625,8,17157,678,8,6,12222,17157,539,15,3139950764,1493147635,true,53,34505203,"Kiev Major"
8619,11,20336,489,9,2,12595,20336,516,14,3805293296,1522308291,true,58,34505203,"Dota 2 Asia Championships 2018"
8613,3,30702,495,13,5,30981,30702,569,18,3362175204,1502130888,true,99,34505203,"The International 2017"
8456,10,42275,522,11,7,19528,42275,593,26,4061660411,1534348935,true,45,34505203,"The International 2018"
8400,10,18279,569,16,4,12435,18279,537,8,3743740299,1519124499,true,47,34505203,"ESL One Katowice 2018 powered by Intel"
8360,6,20317,584,18,1,13120,20317,540,17,3530018295,1509289388,true,53,34505203,"ESL One Hamburg 2017"
8345,6,9114,624,20,0,8395,9394,624,5,3083318471,1490706905,true,104,34505203,"Dota 2 Asia Championships 2017"
8314,9,26636,522,16,10,21600,26636,434,8,3372455628,1502567606,true,53,34505203,"The International 2017"
8304,9,34757,580,15,5,18372,34757,543,24,3865715133,1525437600,true,53,34505203,"EPICENTER XL"
8057,1,20606,553,12,6,12352,20606,534,15,3545125310,1509901177,false,53,34505203,"AMD SAPPHIRE Dota PIT"
7857,6,26354,481,4,3,22983,26354,558,11,3238795882,1497105659,true,99,34505203,"EPICENTER: Moscow Season 2"
7783,6,14408,542,10,6,16401,14408,603,12,4065211201,1534553665,true,6,34505203,"The International 2018"
7624,7,22370,661,10,1,6952,22370,589,10,3352462460,1501721682,true,53,34505203,"The International 2017"
7567,12,24442,635,15,4,12654,24442,677,15,3909634072,1527090826,true,52,34505203,"ESL One Birmingham 2018 powered by Intel"
7312,8,21087,513,16,6,21589,21087,538,9,3794599724,1521737996,true,58,34505203,"Corsair DreamLeague season 9"
7124,2,10063,506,10,2,6110,10063,452,21,3593288991,1512153349,true,53,34505203,"DreamLeague season 8"
7050,9,21873,562,21,1,15587,21873,614,10,3752068728,1519553406,true,19,34505203,"ESL One Katowice 2018 powered by Intel"
6866,6,20328,616,8,5,20175,20328,612,11,2751755320,1478103083,true,108,34505203,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
6695,9,30976,457,6,1,10302,30976,568,11,3497486752,1507812987,true,45,34505203,"SL i-League Invitational Season 3"
6557,6,16926,490,3,3,19364,16926,554,16,3084402972,1490762838,true,104,34505203,"Dota 2 Asia Championships 2017"
6477,3,15394,661,11,2,12795,15394,648,14,3772435351,1520616958,true,57,34505203,"PGL BUCHAREST MAJOR 2018"
6217,5,28376,570,20,4,16091,28376,705,11,3909733428,1527094348,true,15,34505203,"ESL One Birmingham 2018 powered by Intel"
6084,3,8931,439,5,6,11735,8931,394,16,2739822782,1477656973,true,21,34505203,"The Boston Major 2016"
5918,10,17757,570,6,3,9442,23960,509,16,2195617106,1457065758,true,72,34505203,"The Shanghai Major"
5894,5,27589,579,8,7,19553,27589,515,12,2978346983,1486317284,true,63,34505203,"Dota 2 Asia Championships 2017"
5769,2,11118,420,7,4,12286,11118,497,14,2936538368,1485281569,true,38,34505203,"SL i-League StarSeries S3"
5599,9,11781,628,3,5,12869,15922,608,23,2311039360,1461300874,true,53,34505203,"ESL One Manila 2016"
5515,11,16749,581,3,3,9175,24781,653,18,2279118206,1460052325,true,53,34505203,"The BTS Series"
5427,10,19008,533,7,5,40066,29492,500,11,1815168792,1443054785,false,49,34505203,"FACEIT Pro League Europe"
5268,13,41793,525,4,16,49585,41793,459,21,2758687202,1478366440,true,19,34505203,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
5261,1,14082,399,1,6,13259,14082,381,11,2723384574,1476993601,true,38,34505203,"ASUS ROG DreamLeague Season 6"
5148,2,18747,481,2,4,13312,18747,431,17,3352327788,1501710133,true,99,34505203,"The International 2017"
5127,9,17441,538,14,1,4209,17441,433,7,3372622939,1502576268,true,53,34505203,"The International 2017"
4963,6,18728,525,30,4,8721,18728,440,15,3911193264,1527167722,true,53,34505203,"ESL One Birmingham 2018 powered by Intel"
4931,6,14140,419,10,5,13272,14140,338,6,3550508063,1510156802,true,52,34505203,"DreamLeague season 8"
4930,2,16763,525,1,5,15846,34211,506,14,2142612562,1455127257,false,80,34505203,"Dota Pit League Season Four"
4841,2,11304,499,25,3,6485,11304,457,11,3195817999,1495379856,true,33,34505203,"SL i-League Invitational Season 2"
4820,9,16161,531,10,3,8734,16161,506,19,4064708096,1534521671,true,53,34505203,"The International 2018"
4802,1,10534,446,2,4,11302,10534,573,9,3022528136,1488111651,true,38,34505203,"SL i-League StarSeries S3"
4736,6,12227,547,6,0,6221,12227,528,8,2978221218,1486314027,true,63,34505203,"Dota 2 Asia Championships 2017"
4702,14,21862,720,5,1,39015,36596,545,20,2362849384,1463239894,true,99,34505203,"EPICENTER: Moscow"
4686,2,23463,404,12,11,40547,23463,481,22,3716503818,1517734155,true,49,34505203,"SL i-League Invitational Season 4"
4671,5,27482,494,11,5,12722,27482,460,11,3798272648,1521915609,false,53,34505203,"Corsair DreamLeague season 9"
4656,15,28460,517,15,6,26417,28460,553,16,3942260942,1528553828,true,52,34505203,"CHINA DOTA2 SUPER MAJOR"
4654,7,24276,499,14,5,13426,24276,437,3,3597401325,1512319893,false,53,34505203,"DreamLeague season 8"
4610,2,7053,375,25,2,5209,7053,410,13,3768183941,1520409809,true,58,34505203,"PGL BUCHAREST MAJOR 2018"
4608,7,12720,552,7,7,9776,19742,514,20,2191243186,1456899069,true,53,34505203,"The Shanghai Major"
4586,3,11812,532,3,6,14261,25443,437,6,2191144529,1456894009,false,53,34505203,"The Shanghai Major"
4575,3,41568,338,7,10,21220,41568,426,14,3554472677,1510344299,false,45,34505203,"DreamLeague season 8"
4548,3,13509,455,3,0,17535,13509,483,21,3241665434,1497189487,true,99,34505203,"EPICENTER: Moscow Season 2"
4540,6,9421,476,5,1,7975,9421,500,9,3696416896,1516778241,true,49,34505203,"ESL One Genting 2018"
4479,6,7798,486,3,5,9647,13272,438,6,2201019839,1457231914,true,53,34505203,"The Shanghai Major"
4380,6,14978,450,17,1,8270,14978,436,15,3748928380,1519400598,true,58,34505203,"ESL One Katowice 2018 powered by Intel"
4351,11,20332,592,12,5,11035,20332,565,14,3372386596,1502564344,true,53,34505203,"The International 2017"
4339,5,17124,459,3,5,18635,17124,663,15,3696501908,1516781925,true,104,34505203,"ESL One Genting 2018"
4321,10,22115,548,1,9,21544,52998,511,12,2418415538,1465272933,false,53,34505203,"The Manila Major 2016"
4316,8,14746,474,10,3,19664,14746,492,17,2944800004,1485547171,true,78,34505203,"SL i-League StarSeries S3"
4268,9,30268,530,17,8,29560,30268,618,8,3798116566,1521910206,false,19,34505203,"Corsair DreamLeague season 9"
4258,8,8930,660,11,1,2239,9139,473,10,2195561641,1457063053,true,53,34505203,"The Shanghai Major"
4252,4,13739,390,6,1,19126,13739,502,11,3772237673,1520609504,true,49,34505203,"PGL BUCHAREST MAJOR 2018"
4221,8,21312,692,2,6,8161,21312,695,14,3142994571,1493302362,true,53,34505203,"Kiev Major"
4214,7,25109,621,12,3,7335,25109,554,15,3139858272,1493143062,true,33,34505203,"Kiev Major"
4212,6,21546,464,12,2,10470,21546,584,15,4064786062,1534525204,true,58,34505203,"The International 2018"
4137,2,9850,438,11,3,13808,9850,523,11,3928278244,1527924494,true,38,34505203,"CHINA DOTA2 SUPER MAJOR"
4132,6,18018,491,9,1,11915,18018,418,11,3702089496,1517048477,true,19,34505203,"ESL One Genting 2018"
4083,13,19105,606,4,2,14271,24024,679,12,2430186583,1465701423,true,63,34505203,"The Manila Major 2016"
3992,3,16107,305,4,6,18019,16107,357,13,3504026309,1508085793,false,45,34505203,"SL i-League Invitational Season 3"
3952,5,9712,598,8,2,3380,10458,523,14,2279214153,1460056065,true,53,34505203,"The BTS Series"
3929,1,8774,398,0,7,12879,8774,380,5,2752002464,1478111403,false,38,34505203,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
3919,2,8123,517,6,0,4179,8123,452,10,3352286942,1501707341,true,53,34505203,"The International 2017"
3917,6,13992,572,9,5,9206,22088,515,20,2231862712,1458327519,true,53,34505203,"WePlay League Season 3"
3844,4,11690,436,0,6,12710,20355,496,14,2201624014,1457251546,true,38,34505203,"The Shanghai Major"
3843,4,10022,472,3,6,13178,16522,416,9,2198763106,1457167573,false,53,34505203,"The Shanghai Major"
3833,4,25871,570,12,9,19935,26557,551,8,3352505678,1501725151,false,53,34505203,"The International 2017"
3726,4,12096,471,7,1,8184,12096,439,10,3190241106,1495176306,true,99,34505203,"SL i-League Invitational Season 2"
3717,2,6853,526,2,8,11460,11602,488,11,2442113000,1466156304,true,53,34505203,"ESL One Frankfurt 2016"
3697,4,7860,381,4,6,12429,7860,317,14,2721005610,1476894127,true,38,34505203,"Dota Pit League Season Five"
3690,1,10946,371,6,7,21077,10946,341,11,2721319658,1476906297,false,38,34505203,"ASUS ROG DreamLeague Season 6"
3680,3,7806,498,7,3,5641,8555,420,8,2237478172,1458504791,true,38,34505203,"WePlay League Season 3"
3668,8,12823,557,11,6,11849,17567,506,14,2311553749,1461320966,true,53,34505203,"ESL One Manila 2016"
3658,4,7444,427,12,2,5359,7444,462,13,3504319604,1508098764,true,49,34505203,"SL i-League Invitational Season 3"
3611,5,7273,445,5,4,7244,9545,406,4,2183947071,1456629575,false,38,34505203,"The Shanghai Major"
3604,8,21746,422,18,8,20179,21746,625,14,3538073823,1509636296,true,78,34505203,"AMD SAPPHIRE Dota PIT"
3602,5,7973,520,4,1,3454,9649,531,14,2184910779,1456657192,true,53,34505203,"The Shanghai Major"
3567,2,10052,485,2,2,4694,12519,466,19,2290769819,1460484575,true,53,34505203,"The BTS Series"
3559,6,15096,533,7,2,15885,15096,790,19,4065260154,1534557920,true,63,34505203,"The International 2018"
3549,4,8325,551,4,0,2754,9369,400,10,2149952289,1455390976,true,53,34505203,"WePlay League Season 3"
3543,5,7146,465,5,5,8356,11973,419,16,2353290933,1462879894,true,38,34505203,"EPICENTER: Moscow"
3458,10,34328,421,13,4,16596,34328,465,14,3768860674,1520438434,true,58,34505203,"PGL BUCHAREST MAJOR 2018"
3446,12,27616,553,12,7,17677,27616,590,18,3504143591,1508090341,true,53,34505203,"SL i-League Invitational Season 3"
3393,11,27222,475,11,9,31699,27222,596,8,3810690114,1522567507,false,19,34505203,"Dota 2 Asia Championships 2018"
3360,9,40981,598,14,6,31912,40981,602,18,3330036964,1500752152,false,53,34505203,"DreamLeague season 7"
3360,7,27417,480,25,1,8941,27417,526,9,3806929208,1522393714,true,58,34505203,"Dota 2 Asia Championships 2018"
3358,6,10519,519,12,4,15025,13042,617,16,2445668674,1466270622,true,41,34505203,"ESL One Frankfurt 2016"
3348,5,8286,489,12,1,2527,8397,508,16,2105006485,1453755156,true,53,34505203,"Dota Pit League Season Four"
3336,2,4508,465,4,6,7515,6272,402,8,2092744852,1453316748,true,61,34505203,"WePlay League Season 3"
3307,5,18105,487,6,8,23368,18105,480,21,3356044327,1501879777,true,53,34505203,"The International 2017"
