"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
14321,15,25144,579,32,6,33278,25144,617,8,3455271627,1505916092,false,47,106573901,"PGL DOTA2 OPEN"
14194,11,26194,770,22,1,8613,26194,802,10,3352383050,1501714791,true,46,106573901,"The International 2017"
13925,18,39758,816,17,3,16248,39758,803,12,3148357328,1493540025,true,46,106573901,"Kiev Major"
13260,19,39751,775,29,1,25709,39751,784,10,3258915301,1497826012,true,47,106573901,"The Summit 5"
13235,12,15989,945,16,1,5448,15989,862,3,3616461072,1513196086,true,94,106573901,"Dota Summit 8"
12955,12,20635,513,6,4,26199,20635,702,11,3469756045,1506543988,true,104,106573901,"AMD SAPPHIRE Dota PIT"
12721,10,21574,741,64,2,9473,21771,719,8,3225048663,1496592300,true,11,106573901,"EPICENTER: Moscow Season 2"
12574,4,23350,516,11,1,13579,23350,605,19,3752758474,1519579130,true,45,106573901,"ESL One Katowice 2018 powered by Intel"
12548,8,12839,729,5,1,16971,17963,592,12,1882909382,1445460380,true,19,106573901,"The Defense Season 5"
12182,23,53368,670,17,6,58233,54541,626,24,3354345479,1501812586,true,43,106573901,"The International 2017"
12031,10,25457,692,15,1,23981,27390,803,9,3525994644,1509120812,true,95,106573901,"ESL One Hamburg 2017"
11868,15,17749,854,12,0,14987,21521,641,11,1878679558,1445282874,true,19,106573901,"The Summit 4"
11761,6,12556,800,29,1,6087,12556,736,7,3625490002,1513563501,true,48,106573901,"Dota Summit 8"
11308,19,19303,785,10,2,14991,18812,617,9,1843563913,1443994772,true,19,106573901,"ESL One at New York Super Week"
11017,10,41525,677,30,6,18973,41525,498,16,2899868494,1483782306,true,35,106573901,"ESL One Genting 2017"
10946,11,31063,647,10,9,37644,31063,760,16,3256489256,1497742040,true,52,106573901,"The Summit 5"
10813,11,21570,721,2,5,37905,21570,843,13,3049521638,1489262392,true,82,106573901,"Kiev Major"
10779,10,42242,744,48,4,29457,42323,727,13,3195651041,1495375301,false,11,106573901,"DreamLeague season 7"
10779,3,9072,707,18,3,6990,9072,643,5,3607109048,1512798390,true,48,106573901,"2017 Mars Dota 2 League"
10654,9,18494,728,24,1,8167,18494,720,8,3143459631,1493321165,true,11,106573901,"Kiev Major"
10617,11,32345,685,10,4,43603,32389,700,13,3481228289,1507053001,true,49,106573901,"DreamLeague season 7"
10600,8,15029,639,17,0,9595,15029,588,6,2717155735,1476723150,true,49,106573901,"The Summit 5"
10479,8,31621,607,36,1,11293,32311,650,10,3368249009,1502411977,true,47,106573901,"The International 2017"
10471,15,31774,828,15,0,6046,31774,815,8,2738512449,1477593743,true,74,106573901,"The Boston Major 2016"
10421,9,21961,562,14,3,25217,22043,565,11,3862694365,1525278196,true,43,106573901,"EPICENTER XL"
10264,6,59484,537,17,7,26636,59484,692,28,3463883085,1506270112,true,40,106573901,"ESL One Hamburg 2017"
10234,6,12177,677,29,0,9933,12177,626,10,3048303199,1489227766,true,49,106573901,"Kiev Major"
10167,11,42051,735,11,1,20856,42051,726,5,3228862847,1496759655,true,99,106573901,"EPICENTER: Moscow Season 2"
10148,13,19066,711,47,0,11811,19066,742,14,3605580580,1512731194,true,11,106573901,"2017 Mars Dota 2 League"
9759,6,18189,552,11,1,26881,18189,601,13,3352153962,1501699478,true,49,106573901,"The International 2017"
9741,8,25500,615,11,3,20952,25500,566,13,2740099399,1477663886,true,19,106573901,"The Boston Major 2016"
9681,9,18979,683,8,3,13756,18979,758,7,3492923816,1507575002,true,49,106573901,"DreamLeague season 7"
9637,9,23299,693,10,3,17622,23299,738,15,3928337789,1527926691,true,52,106573901,"CHINA DOTA2 SUPER MAJOR"
9571,11,16641,718,49,1,8688,16641,672,14,2740429436,1477672232,true,11,106573901,"The Boston Major 2016"
9551,7,13143,643,33,2,14697,13143,680,11,3552645913,1510261680,true,15,106573901,"DreamLeague season 8"
9467,10,17724,597,25,2,5211,17724,553,13,3805545412,1522320894,true,45,106573901,"Dota 2 Asia Championships 2018"
9330,16,39173,721,34,1,8724,39173,667,11,3530401688,1509304243,true,35,106573901,"ESL One Hamburg 2017"
9318,9,27166,1064,8,1,25425,27166,790,17,3461557055,1506182191,true,73,106573901,"ESL One Hamburg 2017"
