"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
18794,11,26085,846,12,3,21238,30224,792,11,3149215336,1493566333,true,109,132851371,"Kiev Major"
17834,13,33558,818,29,3,32475,33558,669,10,3698141876,1516865203,false,48,132851371,"ESL One Genting 2018"
17522,7,28318,817,14,2,12080,28318,622,14,3941137339,1528509632,true,48,132851371,"CHINA DOTA2 SUPER MAJOR"
17058,11,18167,703,12,2,10100,19147,522,14,3137347019,1493027922,true,109,132851371,"Kiev Major"
16887,4,32217,890,17,0,16358,36211,541,12,3765708885,1520260434,true,109,132851371,"PGL BUCHAREST MAJOR 2018"
15959,12,36364,833,14,2,42183,36364,829,14,3137237965,1493022979,true,95,132851371,"Kiev Major"
15387,17,56523,916,23,1,13808,58473,779,8,3620796674,1513389179,true,94,132851371,"Dota Summit 8"
14846,13,22694,755,13,3,12535,22694,738,9,3193719922,1495302002,true,95,132851371,"DreamLeague season 7"
14624,18,25156,836,14,2,11579,25156,751,15,3818707653,1523002953,true,95,132851371,"Dota 2 Asia Championships 2018"
14262,5,23916,784,38,1,14080,23916,641,11,2739373619,1477641629,true,48,132851371,"The Boston Major 2016"
14148,10,29533,889,19,4,21211,29533,672,12,2661576001,1474557171,true,48,132851371,"The BTS Series"
14054,6,22438,806,16,1,6263,22438,730,10,3574758829,1511280497,true,48,132851371,"D2CL Season 7"
13875,7,30373,661,11,0,24371,30373,605,15,3149353238,1493570791,true,54,132851371,"Kiev Major"
13668,5,9942,809,15,1,4055,9942,737,2,2706026434,1476300598,true,48,132851371,"ASUS ROG DreamLeague Season 6"
13133,12,28644,771,16,2,15835,29541,585,16,3773436674,1520672567,true,109,132851371,"PGL BUCHAREST MAJOR 2018"
13026,13,27021,792,19,3,14938,27021,707,15,3606910502,1512788580,true,48,132851371,"2017 Mars Dota 2 League"
12934,12,24954,844,17,1,21091,33174,623,10,3783445648,1521191444,true,109,132851371,"World Electronic Sports Games International"
12827,11,13817,711,16,1,6627,13817,628,9,2738595659,1477597291,true,6,132851371,"The Boston Major 2016"
12732,7,29427,748,20,1,17693,30863,599,13,3593194086,1512149432,true,109,132851371,"DreamLeague season 8"
12551,8,22134,754,19,1,10379,22202,661,10,3562026562,1510677966,true,48,132851371,"Dota Summit 8"
12535,8,13590,666,5,2,7491,13590,565,8,2715080172,1476635823,true,6,132851371,"The Summit 5"
12376,13,31673,665,12,1,16269,31673,658,10,2740099399,1477663886,true,54,132851371,"The Boston Major 2016"
12306,15,32261,718,24,3,33244,32261,816,12,4064851344,1534528507,true,63,132851371,"The International 2018"
12251,10,10234,645,21,2,10570,10234,548,4,3620742450,1513385500,true,54,132851371,"Dota Summit 8"
12180,3,20074,829,25,1,5437,20074,706,14,3624843844,1513530073,true,94,132851371,"Dota Summit 8"
12131,5,9812,663,6,0,14828,9812,565,10,3137907375,1493047660,true,8,132851371,"Kiev Major"
12095,14,21910,780,3,10,47523,42564,406,15,2342341468,1462462672,true,1,132851371,"The Manila Major 2016"
11878,11,12664,689,4,0,13235,12664,679,8,3592347071,1512120946,true,61,132851371,"DreamLeague season 8"
11858,4,15085,619,21,3,16824,15143,553,11,3695119172,1516708293,true,49,132851371,"ESL One Genting 2018"
11851,22,32668,857,22,5,16474,32668,819,13,3783292575,1521183302,true,95,132851371,"World Electronic Sports Games International"
11644,11,17005,741,18,2,18520,17005,679,3,4063413580,1534451741,true,12,132851371,"The International 2018"
11640,6,16013,649,24,0,5980,16013,590,16,3355805274,1501868434,true,48,132851371,"The International 2017"
11467,10,23508,603,15,0,11070,23508,664,16,3525706372,1509111555,true,54,132851371,"ESL One Hamburg 2017"
11268,10,12130,669,12,0,7715,12130,585,6,2897064589,1483677730,true,8,132851371,"ESL One Genting 2017"
11065,9,29538,629,3,6,21748,29538,595,13,2763648410,1478552100,true,6,132851371,"ASUS ROG DreamLeague Season 6"
11062,12,37794,747,8,6,26170,43338,542,10,3167717589,1494338660,true,109,132851371,"ProDotA Cup by Azubu"
10956,7,13844,664,20,2,11521,13844,665,10,3226859073,1496672253,true,95,132851371,"EPICENTER: Moscow Season 2"
10755,12,19817,778,15,1,12945,19817,646,11,3148230043,1493535615,true,41,132851371,"Kiev Major"
10746,16,31196,655,33,2,23124,31196,625,11,3620675836,1513381466,true,10,132851371,"Dota Summit 8"
10719,6,9849,543,8,0,10574,9849,487,11,3354286673,1501808227,true,77,132851371,"The International 2017"
10714,5,18861,743,6,4,10417,18861,689,11,2751994184,1478111098,true,48,132851371,"ASUS ROG DreamLeague Season 6"
10653,7,13606,512,21,2,21590,13606,527,11,3862694365,1525278196,true,77,132851371,"EPICENTER XL"
10637,7,16299,625,8,2,15727,16299,778,10,3529812480,1509283178,true,61,132851371,"ESL One Hamburg 2017"
10588,10,19393,635,20,0,14401,19393,600,15,3357892393,1501952465,true,77,132851371,"The International 2017"
10489,7,11550,685,11,3,8736,11550,602,11,2704004787,1476215994,true,18,132851371,"ASUS ROG DreamLeague Season 6"
10444,8,21901,805,26,3,16944,21901,725,17,3859017359,1525109242,true,95,132851371,"EPICENTER XL"
10311,13,14523,701,9,4,14151,14523,668,9,3943365614,1528604858,true,18,132851371,"CHINA DOTA2 SUPER MAJOR"
10308,7,19384,623,9,2,14569,19384,592,17,3193576156,1495297799,true,95,132851371,"DreamLeague season 7"
10249,5,11432,709,24,2,4591,11432,574,6,3560422984,1510599792,true,48,132851371,"Dota Summit 8"
10143,13,25435,813,23,1,7576,25435,887,15,3783517334,1521194947,true,95,132851371,"World Electronic Sports Games International"
10003,17,18147,642,24,0,25490,27399,669,11,2127885491,1454601343,true,77,132851371,"WePlay League Season 3"
9854,10,19760,688,13,1,12614,19760,713,10,2787674014,1479517735,true,6,132851371,"The Summit 5"
9808,10,26103,696,15,6,46087,85840,427,6,2463855212,1466957547,false,109,132851371,"The International 2016"
9633,4,10929,669,11,1,14515,23921,614,19,2381777544,1463929131,true,80,132851371,"Nanyang Championships Season 2"
9599,6,23339,696,19,3,11518,23339,601,12,3616571379,1513203479,true,72,132851371,"Dota Summit 8"
9553,4,33274,833,11,1,12249,33274,755,9,3625422067,1513559053,true,94,132851371,"Dota Summit 8"
9449,17,22730,704,20,1,14539,22730,655,8,2666539352,1474736365,true,10,132851371,"The BTS Series"
9425,15,22756,733,9,1,9943,22756,717,5,3625315335,1513551650,true,61,132851371,"Dota Summit 8"
9388,10,27006,766,28,2,7404,27006,769,13,3563757526,1510767004,true,72,132851371,"DreamLeague season 8"
9374,6,19185,722,6,5,11642,19185,725,9,3492992150,1507578689,true,18,132851371,"DreamLeague season 7"
9256,9,29620,675,5,4,19067,29620,703,20,3147190590,1493485153,true,93,132851371,"Kiev Major"
9251,11,19271,723,14,0,11982,19271,754,4,3744481509,1519158049,true,61,132851371,"ESL One Katowice 2018 powered by Intel"
