"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
6480,4,15075,682,3,4,8665,19120,476,28,2246530825,1458841868,true,53,159020918,"ProDotA Cup by Azubu.tv"
5827,15,23108,680,9,4,12936,30279,649,17,2144815080,1455211216,true,74,159020918,"ProDotA Cup by Azubu.tv"
5641,15,19916,719,6,9,23519,33277,553,12,2251282233,1459009185,false,53,159020918,"WellPlay Invitational by Hitbox.tv"
5167,4,7480,454,2,2,5437,7480,418,14,3277853682,1498583761,true,66,159020918,"The International 2017"
5053,4,8138,352,0,4,7700,8138,302,14,2977118488,1486292144,true,52,159020918,"Dota 2 Asia Championships 2017"
5031,4,9306,524,3,7,12287,13421,439,18,2262835276,1459440940,true,53,159020918,"WellPlay Invitational by Hitbox.tv"
4195,2,5831,339,2,3,9617,5831,390,15,3457242492,1506002971,true,58,159020918,"ESL One Hamburg 2017"
3364,1,1693,378,1,1,4433,1865,251,4,2239810677,1458592631,true,66,159020918,"ProDotA Cup by Azubu.tv"
3306,2,11575,306,8,4,11092,12035,415,9,3352104337,1501696708,false,58,159020918,"The International 2017"
3213,4,11070,351,1,9,18977,11070,312,5,3473346767,1506714873,false,66,159020918,"Perfect World Masters"
3174,3,4666,417,3,6,14638,4666,493,12,3281780707,1498753670,true,18,159020918,"The International 2017"
3062,7,12873,392,1,2,11996,12873,471,15,2996187887,1487004962,true,18,159020918,"Dota 2 Asia Championships 2017"
3056,4,9859,393,2,9,11739,9859,340,9,3473277774,1506711732,true,66,159020918,"Perfect World Masters"
2968,7,16704,486,6,8,17415,16704,472,18,3450455069,1505672966,true,66,159020918,"SL i-League Invitational Season 3"
2927,4,6233,302,4,5,17284,8227,359,22,3547388149,1510002003,true,85,159020918,"DreamLeague season 8"
2840,6,9718,437,3,3,6963,9718,588,16,3773545008,1520676940,true,66,159020918,"PGL BUCHAREST MAJOR 2018"
2812,3,6799,338,2,3,6292,6799,260,13,2765512077,1478631954,true,37,159020918,"D2CL Season 7"
2804,6,21154,594,3,8,18871,21154,485,20,3512486544,1508504943,true,66,159020918,"PGL DOTA2 OPEN"
2795,7,18699,354,4,3,12848,18699,474,18,3321834901,1500402113,true,58,159020918,"ProDotA Cup by Azubu"
2751,10,18972,420,6,4,8733,19006,502,8,3475124948,1506788216,true,58,159020918,"Perfect World Masters"
2737,11,15509,628,2,3,7868,15657,475,16,2244419416,1458766805,true,58,159020918,"ProDotA Cup by Azubu.tv"
2584,2,12075,340,7,2,11650,12075,399,17,2723373532,1476993051,true,37,159020918,"Dota Pit League Season Five"
2505,2,11948,325,10,14,16176,11948,383,24,2709885980,1476461160,true,79,159020918,"D2CL Season 7"
2486,2,8089,419,0,7,11031,9260,345,19,2262701939,1459437219,true,66,159020918,"WellPlay Invitational by Hitbox.tv"
2302,4,8812,343,1,7,11258,8812,333,9,3461442465,1506178769,true,66,159020918,"ESL One Hamburg 2017"
2253,5,14360,347,2,7,10428,14360,388,11,3908954812,1527069585,true,52,159020918,"ESL One Birmingham 2018 powered by Intel"
2239,7,7376,379,0,3,6936,7376,376,16,2860364617,1482246739,true,66,159020918,"ProDotA Cup Series by Azubu.tv"
2210,9,9199,436,0,2,4668,8367,464,8,2574012035,1471286441,true,58,159020918,"ProDotA Cup Series by Azubu.tv"
