match_id,Radiant,Dire,radiant_assists,radiant_barracks,radiant_denies,radiant_gpm,radiant_healing,radiant_hero_damage,radiant_kills,radiant_last_hits,radiant_total_levels,radiant_tower_damage,radiant_tower_status,radiant_xpm,dire_assists,dire_barracks,dire_denies,dire_gpm,dire_healing,dire_hero_damage,dire_kills,dire_last_hits,dire_total_levels,dire_tower_damage,dire_tower_status,dire_xpm,first_blood,match_duration,radiant_winner
4061660411,Fnatic,Team Liquid,80,0,54,2097,22103,134426,41,1286,116,8553,0,2537,93,61,32,2479,1644,158912,42,1142,123,20645,1952,2932,15,3031,0
4061662358,Evil Geniuses,VGJ Thunder,117,63,33,2878,8934,171483,49,1211,125,17013,1828,2898,95,16,39,2162,12773,117902,37,1071,118,4730,0,2778,111,3035,1
4061671194,OG,PSG.LGD,34,15,33,1417,1565,55736,13,413,64,1285,1572,1413,83,63,42,2307,16240,73373,41,722,96,11241,1982,2843,98,1735,0
4061694810,Mineski,Invictus Gaming,41,0,46,1975,2982,70218,17,871,103,4010,1024,2261,50,63,47,2230,3069,84822,23,1046,106,22836,1840,2429,435,2528,0
4061721528,OG,PSG.LGD,103,63,33,2346,4558,145076,41,995,119,23412,1926,2672,60,0,36,2185,21987,100679,30,1256,117,7894,0,2732,0,2810,1
4061742840,Fnatic,Team Liquid,91,63,60,2362,7737,74234,39,739,99,10546,1974,2799,3,51,49,1363,2100,42112,1,556,66,3320,1796,1317,51,1905,1
4061745637,Evil Geniuses,VGJ Thunder,79,63,35,2241,1977,78556,41,465,80,10463,1982,2477,25,51,38,1580,7318,38276,14,426,67,1404,1792,1772,102,1505,1
4061766981,Mineski,Invictus Gaming,77,63,24,2508,3850,90748,25,906,104,18712,1798,2550,46,0,89,2210,4147,71207,23,1032,103,6922,512,2492,109,2308,1
4061802430,OpTic Gaming,Virtus.pro,56,3,70,2022,7139,76460,29,928,109,4751,6,2390,112,63,31,2392,4684,106950,42,1001,121,12062,1828,3102,135,2660,0
4061804100,VGJ Storm,Vici Gaming,36,63,51,2329,4064,59869,20,823,91,19346,1980,2396,9,2,43,1583,3923,40831,7,701,77,4184,1536,1742,196,1956,1
4061815647,Team Secret,Team Serenity,30,48,22,1548,3636,77709,14,709,84,3440,1792,1591,95,63,39,2493,2858,122399,41,1144,115,18554,2022,2927,0,2457,0
4061848287,TNC Predator,Newbee,24,3,22,1737,1273,42870,14,776,83,2684,1540,1752,61,63,45,2318,5994,57443,27,908,103,16751,1956,2591,141,2197,0
4061858332,VGJ Storm,Vici Gaming,74,63,44,2443,5723,112007,35,1381,112,16224,1846,2813,48,48,28,1993,5878,88600,26,1035,109,2942,1792,2592,100,2518,1
4061867364,OpTic Gaming,Virtus.pro,33,3,21,1716,0,69564,19,1060,90,1214,4,2104,92,63,39,2483,2507,88234,40,756,105,15818,2046,2927,178,2154,0
4061880066,Team Secret,Team Serenity,50,63,48,1980,3816,36831,22,340,61,8065,1983,2016,5,60,27,1447,400,19192,2,352,50,410,2016,1520,96,1104,1
4061903681,TNC Predator,Newbee,36,3,44,1923,0,56080,16,781,85,4081,1542,2018,75,63,24,2533,5896,60213,36,921,107,13144,1974,3112,99,1982,0
4061921764,Invictus Gaming,Evil Geniuses,11,63,33,1606,1560,37438,8,769,83,2194,1824,1863,72,63,75,2237,3472,69339,29,818,99,7889,1980,2570,276,2052,0
4061922574,Winstrike,Mineski,30,0,49,1884,265,87082,15,1023,97,3857,1536,2104,70,63,40,2683,16260,93838,42,1152,114,21151,1846,2850,223,2423,0
4061924528,PSG.LGD,VGJ Thunder,62,3,42,2297,5167,97496,27,1227,114,8763,1536,2630,104,60,23,2350,16648,107939,38,1238,116,16544,1840,2734,0,2738,0
4061952570,OG,Team Liquid,95,15,36,2114,7564,162188,48,1110,123,7815,516,2681,111,63,51,2261,14018,173489,60,1079,124,9920,1796,2750,117,3477,0
4061971770,Evil Geniuses,Invictus Gaming,52,51,54,2072,11960,81557,25,975,107,7859,390,2424,96,63,23,2421,18200,113792,38,1266,122,11636,1828,3121,0,2621,0
4061977166,Mineski,Winstrike,71,63,35,2339,6238,64287,34,701,92,17816,1975,2585,22,0,49,1630,200,59932,13,624,71,1198,1536,1667,149,1840,1
