"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
19072,7,23476,633,14,0,23476,23476,663,18,3364351128,1502237344,true,95,105248644,"The International 2017"
16360,5,31155,762,6,4,26542,34488,600,4,2853451399,1481991525,true,109,105248644,"WellPlay Invitational by VitalBet"
15864,9,15973,704,32,1,13051,15973,674,5,3370307979,1502495960,true,10,105248644,"The International 2017"
14603,19,32871,832,14,4,24690,40911,873,6,3504143591,1508090341,true,109,105248644,"SL i-League Invitational Season 3"
14491,7,18213,719,20,7,78772,18213,448,14,2987524070,1486664036,true,82,105248644,"Dota 2 Asia Championships 2017"
14149,14,25879,868,25,1,12014,25879,726,6,3022691596,1488116305,true,1,105248644,"SL i-League StarSeries S3"
14118,12,20331,994,22,4,18647,20331,961,2,3330264429,1500764398,true,1,105248644,"DreamLeague season 7"
14113,16,38859,860,41,1,11818,38859,942,5,3328081715,1500684592,true,1,105248644,"DreamLeague season 7"
13857,9,26388,707,12,0,11686,28853,579,8,3138003121,1493051349,true,109,105248644,"Kiev Major"
13809,5,17138,602,13,2,14533,17138,493,6,3367897602,1502389676,true,59,105248644,"The International 2017"
13748,13,25550,619,14,4,25599,25550,648,11,3351961375,1501689968,true,95,105248644,"The International 2017"
13659,12,32822,796,13,5,14370,32822,859,10,4063369023,1534448756,true,25,105248644,"The International 2018"
13497,9,28991,841,28,4,16581,30553,675,16,3855211981,1524934545,true,109,105248644,"EPICENTER XL"
13336,9,16668,834,24,1,4773,17231,688,7,2802627490,1480093699,true,109,105248644,"ASUS ROG DreamLeague Season 6"
12939,12,37901,739,14,4,19908,37901,806,11,3327855394,1500669498,true,1,105248644,"DreamLeague season 7"
11495,9,33648,751,21,1,20826,38585,656,6,3744215830,1519144396,true,109,105248644,"ESL One Katowice 2018 powered by Intel"
11430,24,38730,824,49,0,15474,38730,915,6,3856657225,1525006326,true,10,105248644,"EPICENTER XL"
11328,10,17790,592,24,5,16850,17790,651,5,3328038592,1500680998,true,49,105248644,"DreamLeague season 7"
11296,16,39922,859,22,5,18533,39922,593,13,3815318822,1522816847,true,53,105248644,"Dota 2 Asia Championships 2018"
11116,12,14597,658,24,4,58260,27373,568,7,2549023865,1470333649,true,59,105248644,"The International 2016"
11098,15,38080,780,16,1,18369,38080,709,15,3865875641,1525442301,true,95,105248644,"EPICENTER XL"
11064,16,23065,871,28,0,15345,23065,852,3,3860626926,1525182047,true,8,105248644,"EPICENTER XL"
10893,21,40448,999,33,1,14970,40903,962,4,3538372616,1509645889,true,1,105248644,"AMD SAPPHIRE Dota PIT"
10783,11,35671,732,27,2,16222,35671,632,8,2987642896,1486669284,true,74,105248644,"Dota 2 Asia Championships 2017"
10764,23,50820,780,26,0,18538,50820,516,13,3081031452,1490609684,true,74,105248644,"Dota 2 Asia Championships 2017"
10628,13,26839,703,38,9,47333,26839,787,5,3554472677,1510344299,false,95,105248644,"DreamLeague season 8"
10607,10,14123,627,30,0,20263,14123,591,6,3772435351,1520616958,true,54,105248644,"PGL BUCHAREST MAJOR 2018"
10595,22,26463,849,15,4,17473,26463,677,6,3084402972,1490762838,true,74,105248644,"Dota 2 Asia Championships 2017"
10578,3,12435,692,13,0,13252,12435,626,6,2758556399,1478363062,true,49,105248644,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
