"tower_damage","kills","hero_damage","gold_per_min","denies","deaths","dmg_received","dmg_dealt","xp_per_min","assists","match_id","start_time","win","hero_id","account_id","leaguename"
10375,1,12116,419,3,3,8454,12116,458,9,3540395141,1509727850,true,27,134556694,"AMD SAPPHIRE Dota PIT"
9594,4,37152,344,6,11,28176,37361,446,21,3594381943,1512207084,false,27,134556694,"DreamLeague season 8"
6184,4,12526,391,0,4,5889,11409,276,20,2761136622,1478448460,true,79,134556694,"ESL One Frankfurt 2016"
5802,3,10737,378,1,2,5113,10737,228,9,2782906184,1479319391,true,79,134556694,"The Summit 5"
5692,2,3368,307,6,1,7731,3368,301,9,3256168980,1497727032,true,27,134556694,"The Summit 5"
5608,1,16431,410,4,7,9493,16431,392,26,3857361495,1525033874,true,53,134556694,"EPICENTER XL"
5412,4,10037,381,2,5,8287,10037,260,7,2739373619,1477641629,true,79,134556694,"The Boston Major 2016"
5082,6,20439,374,1,9,14930,20439,274,7,2737507041,1477562370,true,79,134556694,"The Boston Major 2016"
4619,5,6852,367,8,5,6427,6852,298,12,4062034566,1534376395,true,66,134556694,"The International 2018"
4480,6,13127,367,0,5,9920,13127,321,19,2792644393,1479678713,true,79,134556694,"The Summit 5"
3654,1,23933,289,3,11,22727,23933,244,7,2712507877,1476551620,true,79,134556694,"Dota Pit League Season Five"
3311,3,7101,329,0,6,8019,7101,240,14,2718918129,1476803911,true,79,134556694,"The Summit 5"
3073,5,10726,369,0,4,8079,12348,397,16,2340129012,1462374590,true,58,134556694,"The Manila Major 2016"
2926,3,8263,352,1,3,5910,8263,260,9,2719226671,1476814623,true,79,134556694,"The Summit 5"
2887,2,4528,371,2,6,8946,7393,362,11,2482142961,1467657510,true,79,134556694,"Global Grand Masters by Prodota.eu"
2789,8,20202,383,5,10,15908,20202,272,10,3859112825,1525113251,false,53,134556694,"EPICENTER XL"
2708,3,4113,333,1,1,4071,4113,282,11,2829238708,1481124442,true,79,134556694,"The Boston Major 2016"
2689,3,7647,299,3,2,7318,7647,313,20,3355805274,1501868434,true,79,134556694,"The International 2017"
2557,7,9768,351,1,6,10713,9768,309,14,2739945449,1477660143,true,66,134556694,"The Boston Major 2016"
2518,3,9730,346,2,8,17839,9730,426,25,4064851344,1534528507,true,20,134556694,"The International 2018"
2404,5,9811,394,6,4,12502,14011,422,14,2160938760,1455814907,true,58,134556694,"WePlay League Season 3"
2398,3,7960,274,6,7,12439,7960,448,16,3857133774,1525022756,true,64,134556694,"EPICENTER XL"
2397,5,7884,387,1,6,14110,9988,300,11,2528069381,1469459802,true,79,134556694,"Global Grand Masters by Prodota.eu"
2364,10,9435,366,0,10,16441,11824,351,10,2527926557,1469455769,true,79,134556694,"Global Grand Masters by Prodota.eu"
2364,4,7071,464,0,4,6226,10311,332,13,2244121749,1458755463,true,66,134556694,"DreamLeague Season 5"
2348,5,24214,375,3,10,24594,24214,609,30,3943262880,1528599447,true,37,134556694,"CHINA DOTA2 SUPER MAJOR"
2324,2,17996,354,3,8,14412,17996,403,26,3866060233,1525447481,false,53,134556694,"EPICENTER XL"
2299,2,3762,512,0,4,5636,5228,334,3,2253970195,1459094792,false,53,134556694,"EPICENTER: Moscow"
2290,4,4999,414,1,1,2944,4665,316,5,2126100455,1454532450,true,66,134556694,"Dota Pit League Season Four"
2276,2,22009,311,0,6,19837,22009,259,21,2829359016,1481128564,true,79,134556694,"The Boston Major 2016"
2226,10,10120,455,2,1,6998,10694,389,8,2295667570,1460706281,true,58,134556694,"SL i-League Invitational Season 1"
