"xp_per_min","tower_damage","kills","hero_healing","hero_damage","gold_per_min","assists","deaths","dmg_dealt","last_hits","match_id","start_time","win","hero_id","account_id","leaguename"
870,10041,7,0,17878,885,7,0,17878,299,2823591515,1480885681,true,46,111620041,"The Boston Major 2016"
850,949,10,0,15377,1198,5,1,15377,293,2750044073,1478034807,true,73,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
836,9915,8,0,33691,727,11,4,33691,755,3139633624,1493133804,false,74,111620041,"Kiev Major"
827,8195,11,0,29056,1152,10,1,29056,362,2822992109,1480863469,true,73,111620041,"The Boston Major 2016"
814,6871,12,3140,23920,743,8,3,23920,436,3228254406,1496739869,true,25,111620041,"EPICENTER: Moscow Season 2"
806,700,10,0,18592,603,8,3,18592,244,3203255425,1495718501,true,17,111620041,"Masters Manila 2017"
796,4696,16,4371,34428,696,16,7,34587,310,3293480465,1499220068,true,17,111620041,"2017 Mars Dota 2 League"
796,3190,17,0,22136,652,13,3,22136,260,3138170103,1493058837,true,39,111620041,"Kiev Major"
788,6352,4,0,26861,1103,7,2,26861,407,3061167739,1489784127,true,73,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
781,5224,10,0,21187,762,16,0,21187,314,3061101068,1489780886,true,74,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
779,3029,16,0,22124,706,6,1,22124,226,3228462946,1496747621,true,13,111620041,"EPICENTER: Moscow Season 2"
777,6954,14,0,29941,746,7,0,29941,402,2761620508,1478466674,true,8,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
771,6871,16,3140,34339,745,6,4,34339,615,3238220510,1497093512,true,25,111620041,"EPICENTER: Moscow Season 2"
766,2206,12,0,37936,800,10,4,37936,721,3137930231,1493048479,true,74,111620041,"Kiev Major"
764,461,8,0,11211,642,3,0,11211,243,3203015286,1495710900,true,46,111620041,"Masters Manila 2017"
757,6417,9,0,26795,1037,8,2,26795,388,3298148289,1499420460,true,73,111620041,"2017 Mars Dota 2 League"
756,682,15,0,16948,668,6,2,16948,221,3230195644,1496826007,true,68,111620041,"EPICENTER: Moscow Season 2"
737,5439,15,0,26767,911,6,1,26767,448,2929339617,1484994278,true,46,111620041,"Dota Pit League Season Five"
722,904,9,0,14634,682,7,0,14634,250,3145102364,1493399178,true,39,111620041,"Kiev Major"
721,3499,10,0,28499,663,18,2,28499,403,3144980236,1493395003,true,17,111620041,"Kiev Major"
711,6905,16,0,40193,789,24,2,40193,443,3147569106,1493501955,true,13,111620041,"Kiev Major"
711,2711,7,0,35303,784,10,4,35303,770,3147464579,1493496169,false,74,111620041,"Kiev Major"
703,7108,13,0,39646,588,16,3,39803,304,3353916502,1501784092,true,9,111620041,"The International 2017"
703,864,7,2166,17936,634,13,3,17936,260,2674644594,1475066413,true,98,111620041,"MarsTV Dota 2 League 2016"
700,4995,15,0,28190,754,14,3,28190,334,2749973259,1478031236,true,11,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
699,4351,5,0,20062,715,15,1,20062,321,3139507911,1493129717,true,74,111620041,"Kiev Major"
699,2918,12,0,27814,634,7,6,27814,301,2789844068,1479581606,true,76,111620041,"The Summit 5"
688,1430,12,0,29418,525,7,7,29418,396,3203110172,1495714113,false,39,111620041,"Masters Manila 2017"
680,7681,12,0,19299,1105,8,3,19299,306,2792354133,1479665268,true,73,111620041,"The Summit 5"
679,2062,6,0,11521,682,9,1,11521,147,2799046764,1479959718,true,46,111620041,"Captains Draft 3.0 Presented by DotaCinema & MoonduckTV"
677,7873,10,0,42548,834,18,2,42548,801,3147338543,1493490667,true,39,111620041,"Kiev Major"
676,3957,15,0,27016,675,9,2,27016,362,2773873863,1478966733,true,76,111620041,"Northern Arena BEAT Invitational presented by Bell"
675,1101,11,0,25963,602,12,1,25963,168,3295942041,1499327761,true,39,111620041,"2017 Mars Dota 2 League"
674,1136,2,0,8382,565,8,3,8382,412,3356321398,1501898796,false,46,111620041,"The International 2017"
672,708,5,0,16324,686,13,7,16324,611,3138784941,1493100694,true,106,111620041,"Kiev Major"
670,239,10,0,32775,733,6,4,32775,469,3138062271,1493053851,false,13,111620041,"Kiev Major"
667,1652,4,0,8173,576,7,3,8173,186,2754255029,1478217565,true,17,111620041,"Dota Pit League Season Five"
